.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Gabriela Statkiewicz-Barabach","Politechnika Wrocławska","",false,false
"Radosław Strzałka","Akademia Górniczo Hutnicza w Krakowie","",false,false
"Izabela Szyperska","Politechnika Poznańska","",false,false
"Jakub Wagner","Narodowe Centrum Badań Jądrowych","",false,false
"Klaudia Żerańska","Politechnika Warszawska","",false,false
"William Moebs","Formerly of Loyola Marymount University","",true,true
"Samuel J. Ling","Truman State University","",true,true
"Jeff Sanny","Loyola Marymount University","",true,true
"Adam Bednorz","Politechnika Warszawska","",false,false
"Grzegorz Harań","Politechnika Wrocławska","",false,false
"Wojciech Kamiński","Uniwersytet Wrocławski","",false,false
"Dobrosława Kasprowicz","Politechnika Poznańska","",false,false
"Paweł Machnikowski","Politechnika Wrocławska","",false,false
"Leszek Markowski","Uniwersytet Wrocławski","",false,false
"Jarosław Piskorski","Uniwersytet Zielonogórski","",false,false
"Krzysztof Pomorski","Akademia Górniczo Hutnicza w Krakowie","",false,false
"Ewa Popko","Politechnika Wrocławska","",false,false
"Tomasz Runka","Politechnika Poznańska","",false,false
"Paweł Scharoch","Politechnika Wrocławska","",false,false
"Kazimierz Sierański","Politechnika Wrocławska","",false,false
