.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"Stephen D. Druger","Northwestern University","",false,false
"William Moebs","Formerly of Loyola Marymount University","",true,true
"Samuel J. Ling","Truman State University","",true,true
"Jeff Sanny","Loyola Marymount University","",true,true
"David Anderson","Albion College","",false,false
"Daniel Bowman","Ferrum College","",false,false
"Gerald Friedman","Santa Fe Community College","",false,false
"Edw. S. Ginsberg","University of Massachusetts","",false,false
"Kenneth Podolak","Plattsburgh State University","",false,false
"Takashi Sato","Kwantlen Polytechnic University","",false,false
"David Smith","University of the Virgin Islands","",false,false
"Joseph Trout","Richard Stockton College","",false,false
"Kevin Wheelock","Bellevue College","",false,false
"Dedra Demaree","Georgetown University","",false,false
"Richard Ludlow","Daniel Webster College","",false,false
"Patrick Motl","Indiana University Kokomo","",false,false
"Lev Gasparov","University of North Florida","",false,false
"Lee LaRue","Paris Junior College","",false,false
"Mark Lattery","University of Wisconsin","",false,false
"Tao Pang","University of Nevada, Las Vegas","",false,false
"Alice Kolakowska","University of Memphis","",false,false
