.value.value.name, .value.value.university, .value.value.country, .value.value.senior_author, .value.value.display_at_top
"William Moebs","Formerly of Loyola Marymount University","",true,true
"Anna Błachowicz","Politechnika Śląska","",false,false
"Tomasz Błachowicz","Politechnika Śląska","",false,false
"Beata Bochentyn","Politechnika Gdańska","",false,false
"Bartosz Brzostowski","Uniwersytet Zielonogórski","",false,false
"Gotard Burdziński","Uniwersytet im. Adama Mickiewicza w Poznaniu","",false,false
"Roman Gołębiewski","Uniwersytet im. Adama Mickiewicza w Poznaniu","",false,false
"Krzysztof Grygiel","Uniwersytet im. Adama Mickiewicza w Poznaniu","",false,false
"Piotr Grygiel","Politechnika Gdańska","",false,false
"Aleksandra Mielewczyk-Gryń","Politechnika Gdańska","",false,false
"Brygida Mielewska","Politechnika Gdańska","",false,false
"Samuel J. Ling","Truman State University","",true,true
"Jeff Sanny","Loyola Marymount University","",true,true
"Tadeusz Miruszewski","Politechnika Gdańska","",false,false
"Jarosław Piskorski","Uniwersytet Zielonogórski","",false,false
"Włodzimierz Salejda","Politechnika Wrocławska","",false,false
"Kazimierz Sierański","Politechnika Wrocławska","",false,false
"Radosław Strzałka","Akademia Górniczo-Hutnicza w Krakowie","",false,false
"Jan Szatkowski","Politechnika Wrocławska","",false,false
"Agnieszka Tomaszewska","Akademia im. Jana Długosza w Częstochowie","",false,false
"Bartłomiej Toroń","Politechnika Śląska","",false,false
"Sebastian Wachowski","Politechnika Gdańska","",false,false
"Antoni Wójcik","Uniwersytet im. Adama Mickiewicza w Poznaniu","",false,false
