.meta.slug,.book_state,.title,.salesforce_abbreviation,.salesforce_name,.salesforce_book_id,.publish_date,.created,.updated,.book_subjects[0].subject_name,.is_ap,.cover_url,.title_image_url,.cover_color,.book_cover_text_color,.reverse_gradient,.print_isbn_10,.print_isbn_13,.print_softcover_isbn_10,.print_softcover_isbn_13,.digital_isbn_10,.digital_isbn_13,.ibook_isbn_10,.ibook_isbn_13,.ibook_volume_2_isbn_10,.ibook_volume_2_isbn_13,.license_url,.high_resolution_pdf_url,.low_resolution_pdf_url,.community_resource_url,.community_resource_feature_link_url,.community_resource_feature_text,.ibook_link,.ibook_link_volume_2,.webview_link,.webview_rex_link,.enable_study_edge,.bookshare_link,.amazon_coming_soon,.amazon_link,.kindle_link,.chegg_link,.bookstore_coming_soon,.comp_copy_available,.tutor_marketing_book,.last_updated_pdf,.adoptions,.savings,.cnx_id,.description
"biology-2e","live","Biology 2e","Biology","Biology",,"2018-03-28","2018-03-09T15:06:20.723000-06:00","2023-03-15T13:17:56.460959-05:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/biology_book_card_2e.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_Biology2e.svg","gray","yellow",false,"1-947172-51-4","978-1-947172-51-7",,"978-1-50669-985-1","1-947172-52-2","978-1-947172-52-4","1-947172-53-0","978-1-947172-53-1",,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Biology2e-WEB_ICOFkGu.pdf",,"https://www.oercommons.org/groups/openstax-biology/1052/?__hub_id=27","https://assets.openstax.org/oscms-prodcms/media/documents/Activities_for_engaging_students_in_Biology_using_animations_1.pdf","Biology animation activity","https://itunes.apple.com/us/book/biology-2e/id1413413708?ls=1&mt=13","","https://cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8","https://openstax.org/books/biology-2e/pages/1-introduction",true,"",false,"https://buyprint.openstax.org/biology-2e","",,false,true,true,"2020-06-25T12:28:00-05:00",2806,169364343,"8d50a0af-948b-4204-a71d-4826cba765b8","<p data-block-key=""0w1zf""><i>Biology 2e</i> is designed to cover the scope and sequence requirements of a typical two-semester biology course for science majors. The text provides comprehensive coverage of foundational research and core biology concepts through an evolutionary lens. <i>Biology</i> includes rich features that engage students in scientific inquiry, highlight careers in the biological sciences, and offer everyday applications. The book also includes various types of practice and homework questions that help students understand—and apply—key concepts.</p><p data-block-key=""aj5fg""><br/>The 2nd edition has been revised to incorporate clearer, more current, and more dynamic explanations, while maintaining the same organization as the first edition. Art and illustrations have been substantially improved, and the textbook features additional assessments and related resources. The first edition of <i>Biology</i> by OpenStax is available in web view <a href=""https://cnx.org/contents/GFy_h8cu"">here</a>.<br/></p><p data-block-key=""dxtwt""></p>"
"biology-ap-courses","live","Biology for AP® Courses","AP Bio","AP Biology",,"2018-03-08","2017-07-27T09:04:16.703000-05:00","2023-01-20T15:52:00-06:00","Science",true,"https://assets.openstax.org/oscms-prodcms/media/documents/biology-AP.png","https://assets.openstax.org/oscms-prodcms/media/documents/Head_BiologyAP.svg","green","yellow",false,"1-947172-40-9","978-1-947172-40-1",,,"1-947172-41-7","978-1-947172-41-8",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/APBiology-OP_5meoFaG.pdf",,"https://www.oercommons.org/groups/openstax-biology-for-ap-courses/2256/?__hub_id=27",,"","","","https://cnx.org/contents/6c322e32-9fb0-4c4d-a1d7-20c95c5c7af2","https://openstax.org/books/biology-ap-courses/pages/1-introduction",true,"",false,"https://buyprint.openstax.org/biology-ap-courses","https://amzn.to/38DcfNE",,false,false,true,,,,"6c322e32-9fb0-4c4d-a1d7-20c95c5c7af2","<p data-block-key=""cl8to""><i>Biology for AP</i><i><sup>®</sup></i><i> Courses</i> covers the scope and sequence requirements of a typical two-semester Advanced Placement<sup>®</sup> biology course. The text provides comprehensive coverage of foundational research and core biology concepts through an evolutionary lens. <i>Biology for AP</i><i><sup>®</sup></i><i> Courses</i> was designed to meet and exceed the requirements of the College Board’s AP<sup>®</sup> Biology framework while allowing significant flexibility for instructors. Each section of the book includes an introduction based on the AP<sup>®</sup> curriculum and includes rich features that engage students in scientific practice and AP<sup>®</sup> test preparation; it also highlights careers and research opportunities in biological sciences.</p><p data-block-key=""sg499""><br/>Advanced Placement<sup>®</sup> and AP<sup>®</sup> are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, this textbook.</p>"
"business-ethics","live","Business Ethics","Business Ethics","Introductory Business Ethics",,"2018-09-24","2018-09-20T15:14:00.961000-05:00","2022-07-27T12:35:00-05:00","Business",false,"https://assets.openstax.org/oscms-prodcms/media/documents/business_ethics_card.svg","https://assets.openstax.org/oscms-prodcms/media/documents/business_ethics.svg","light-blue","yellow",false,"1-947172-56-5","978-1-947172-56-2",,"978-1-59399-577-5","1-947172-57-3","978-1-947172-57-9",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/BusinessEthics-OP.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/BusinessEthics-LR.pdf","https://www.oercommons.org/groups/openstax-business-ethics/3491/?__hub_id=27",,"","","","https://cnx.org/contents/914ac66e-e1ec-486d-8a9c-97b0f7a99774","https://openstax.org/books/business-ethics/pages/1-introduction",true,"",false,"https://buyprint.openstax.org/business-ethics","https://amzn.to/39mtKkc",,false,true,false,,263,6827993,"914ac66e-e1ec-486d-8a9c-97b0f7a99774","<p data-block-key=""4s00f""><i>Business Ethics</i> is designed to meet the scope and sequence requirements of the single-semester business ethics course. This title includes innovative features designed to enhance student learning, including case studies, application scenarios, and links to video interviews with executives, all of which help instill in students a sense of ethical awareness and responsibility.</p>"
"business-law-i-essentials","live","Business Law I Essentials","Business Law","Business Law I Essentials",,"2019-09-27","2019-09-27T09:13:58.595000-05:00","2021-07-20T15:54:00-05:00","Business",false,"https://assets.openstax.org/oscms-prodcms/media/documents/business_law_l_essentials_web_card.svg","https://assets.openstax.org/oscms-prodcms/media/documents/business_law_l_essentials.svg","deep-green","dark_blue",false,,,,"978-1-975076-62-7","1-947172-78-6","978-1-947172-78-4",,,,,"https://creativecommons.org/licenses/by-nc-sa/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Business_Law_I_Essentials_-_WEB.pdf",,"https://www.oercommons.org/groups/openstax-business-law-i-essentials/4547/?__hub_id=27",,"","","","https://cnx.org/contents/464a3fba-68c1-426a-99f9-597e739dc911","https://openstax.org/books/business-law-i-essentials/pages/1-introduction",true,"",false,"https://www.amazon.com/Business-Essentials-OpenStax-paperback-version/dp/1975076621","",,false,false,false,,99,1866897,"464a3fba-68c1-426a-99f9-597e739dc911","<p data-block-key=""ozl6b""><i>Business Law I Essentials</i> is a brief introductory textbook designed to meet the scope and sequence requirements of courses on Business Law or the Legal Environment of Business. The concepts are presented in a streamlined manner, and cover the key concepts necessary to establish a strong foundation in the subject. The textbook follows a traditional approach to the study of business law. Each chapter contains learning objectives, explanatory narrative and concepts, references for further reading, and end-of-chapter questions.</p><p data-block-key=""ewhak""><br/><i>Business Law I Essentials</i> may need to be supplemented with additional content, cases, or related materials, and is offered as a foundational resource that focuses on the baseline concepts, issues, and approaches.</p>"
"calculus-volume-1","live","Calculus Volume 1","Calculus","Calculus",,"2016-03-30","2016-03-10T14:36:48.292000-06:00","2023-03-03T13:16:00-06:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/calculus-v1.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_CalculusV1_phz7bgV.svg","yellow","yellow",false,"1-938168-02-X","978-1-938168-02-4",,"978-1-50669-806-9","1-947172-13-1","978-1-947172-13-5",,,,,"https://creativecommons.org/licenses/by-nc-sa/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Calculus_Volume_1_-_WEB_68M1Z5W.pdf",,"https://www.oercommons.org/groups/openstax-calculus/1048/?__hub_id=27",,"","","","https://cnx.org/contents/8b89d172-2927-466f-8661-01abc7ccdba4","https://openstax.org/books/calculus-volume-1/pages/1-introduction",true,"",false,"https://buyprint.openstax.org/calculus-volume-1","",,false,false,false,"2020-06-25T13:49:00-05:00",1078,45923889,"8b89d172-2927-466f-8661-01abc7ccdba4","<p data-block-key=""esja3""><i>Calculus</i> is designed for the typical two- or three-semester general calculus course, incorporating innovative features to enhance student learning. The book guides students through the core concepts of calculus and helps them understand how those concepts apply to their lives and the world around them. Due to the comprehensive nature of the material, we are offering the book in three volumes for flexibility and efficiency. <i>Volume 1</i> covers functions, limits, derivatives, and integration.<br/></p><p data-block-key=""9vy8w"">Please note that this title is published under a CC BY-NC-SA 4.0 license, which means that you are free to use and adapt, but not for commercial purposes. Changes you make need to be shared using this license.</p>"
"calculus-volume-2","live","Calculus Volume 2","Calculus","Calculus",,"2016-03-30","2016-03-10T14:38:06.918000-06:00","2023-01-13T11:03:00-06:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/calculus-v2.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_CalculusV2_rCDJFxN.svg","yellow","yellow",false,"1-938168-06-2","978-1-938168-06-2",,"978-1-50669-807-6","1-947172-14-X","978-1-947172-14-2",,,,,"https://creativecommons.org/licenses/by-nc-sa/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/CalculusVolume2-OP.pdf",,"https://www.oercommons.org/groups/openstax-calculus/1048/?__hub_id=27",,"","","","https://cnx.org/contents/1d39a348-071f-4537-85b6-c98912458c3c","https://openstax.org/books/calculus-volume-2/pages/1-introduction",true,"",false,"https://buyprint.openstax.org/calculus-volume-2","https://amzn.to/2LN8Lza",,false,false,false,,1078,45923889,"1d39a348-071f-4537-85b6-c98912458c3c","<p data-block-key=""6i1ux""><i>Calculus</i> is designed for the typical two- or three-semester general calculus course, incorporating innovative features to enhance student learning. The book guides students through the core concepts of calculus and helps them understand how those concepts apply to their lives and the world around them. Due to the comprehensive nature of the material, we are offering the book in three volumes for flexibility and efficiency. <i>Volume 2</i> covers integration, differential equations, sequences and series, and parametric equations and polar coordinates.</p><p data-block-key=""72w6f"">Please note that this title is published under a CC BY-NC-SA 4.0 license, which means that you are free to use and adapt, but not for commercial purposes. Changes you make need to be shared using this license.<br/></p>"
"calculus-volume-3","live","Calculus Volume 3","Calculus","Calculus",,"2016-03-30","2016-03-10T14:40:11.313000-06:00","2023-03-02T13:56:00-06:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/calculus-v3.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_CalculusV3_oTJinCd.svg","yellow","yellow",false,"1-938168-07-0","978-1-938168-07-9",,"978-1-50669-805-2","1-947172-16-6","978-1-947172-16-6",,,,,"https://creativecommons.org/licenses/by-nc-sa/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/CalculusVolume3-OP_mktoy8b.pdf",,"https://www.oercommons.org/groups/openstax-calculus/1048/?__hub_id=27",,"","","","https://cnx.org/contents/a31cd793-2162-4e9e-acb5-6e6bbd76a5fa","https://openstax.org/books/calculus-volume-3/pages/1-introduction",true,"",false,"https://buyprint.openstax.org/calculus-volume-3","https://amzn.to/2XDDPUI",,false,false,false,,1078,45923889,"a31cd793-2162-4e9e-acb5-6e6bbd76a5fa","<p data-block-key=""x4f0g""><i>Calculus</i> is designed for the typical two- or three-semester general calculus course, incorporating innovative features to enhance student learning. The book guides students through the core concepts of calculus and helps them understand how those concepts apply to their lives and the world around them. Due to the comprehensive nature of the material, we are offering the book in three volumes for flexibility and efficiency. <i>Volume 3</i> covers parametric equations and polar coordinates, vectors, functions of several variables, multiple integration, and second-order differential equations.</p><p data-block-key=""u6o3e"">Please note that this title is published under a CC BY-NC-SA 4.0 license, which means that you are free to use and adapt, but not for commercial purposes. Changes you make need to be shared using this license.<br/></p>"
"chemistry","retired","Chemistry","Chemistry","Chemistry",,"2015-03-11","2016-03-09T09:57:38.871000-06:00","2019-10-14T15:40:00-05:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/chemistry.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_Chemistry.svg","orange","yellow",false,"1938168399","978-1-938168-39-0",,,"1-947172-09-3","978-1-947172-09-8","1-938168-12-7","978-1-938168-12-3",,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Chemistry-OP_XdqVZpQ.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/Chemistry-LR_urLff6c.pdf","https://www.oercommons.org/groups/openstax-chemistry/1064/?__hub_id=27","https://assets.openstax.org/oscms-prodcms/media/documents/CH1_Classification_of_Matter_Study_Guide_1.docx","OpenStax Chemistry Ch. 1 reading guide","","","https://cnx.org/contents/85abf193-2bd2-4908-8563-90b8a7ac8df6","",false,"https://www.bookshare.org/browse/book/2292177?returnPath=L3NlYXJjaD9tb2R1bGVOYW1lPXB1YmxpYyZsaWJyYXJ5VG9TZWFyY2g9Ym9va3NoYXJlJmF1dGhvckZpbHRlcj1PcGVuU3RheCZhdXRob3I9T3BlblN0YXgmc29ydE9yZGVyPVJFTEVWQU5",false,"https://www.amazon.com/Chemistry-OpenStax-2015-05-04/dp/B01FKU6KZS","https://www.amazon.com/Chemistry-Paul-Flowers-ebook/dp/B075FC37LZ/ref=tmm_kin_swatch_0?_encoding=UTF8&qid=1508859022&sr=8-4",,false,false,false,,,,"85abf193-2bd2-4908-8563-90b8a7ac8df6","<p><i>Chemistry</i> is designed to meet the scope and sequence requirements of the two-semester general chemistry course. The textbook provides an important opportunity for students to learn the core concepts of chemistry and understand how those concepts apply to their lives and the world around them. The book also includes a number of innovative features, including interactive exercises and real-world applications, designed to enhance student learning.<br/></p>"
"chemistry-2e","live","Chemistry 2e","Chemistry","Chemistry",,"2019-02-14","2016-03-09T09:57:38.871000-06:00","2023-03-15T13:48:11.734716-05:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/chemistry_2e_book_card.svg","https://assets.openstax.org/oscms-prodcms/media/documents/chemistry_2e.svg","deep-green","yellow",false,"1-947172-62-X","978-1-947172-62-3",,"978-1-59399-578-2","1-947172-61-1","978-1-947172-61-6",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/Chemistry2e-WEB.pdf",,"https://www.oercommons.org/groups/openstax-chemistry/1064/?__hub_id=27","https://assets.openstax.org/oscms-prodcms/media/documents/CH1_Classification_of_Matter_Study_Guide_1.docx","OpenStax Chemistry Ch. 1 reading guide","","","https://cnx.org/contents/7fccc9cf-9b71-44f6-800b-f9457fd64335","https://openstax.org/books/chemistry-2e/pages/1-introduction",true,"",false,"https://buyprint.openstax.org/chemistry-2e","https://amzn.to/3oFCdFS",,false,false,false,,1985,130018122,"7fccc9cf-9b71-44f6-800b-f9457fd64335","<p data-block-key=""r55x3""><i>Chemistry 2e</i> is designed to meet the scope and sequence requirements of the two-semester general chemistry course. The textbook provides an important opportunity for students to learn the core concepts of chemistry and understand how those concepts apply to their lives and the world around them. The book also includes a number of innovative features, including interactive exercises and real-world applications, designed to enhance student learning. The second edition has been revised to incorporate clearer, more current, and more dynamic explanations, while maintaining the same organization as the first edition. Substantial improvements have been made in the figures, illustrations, and example exercises that support the text narrative. Changes made in<i> Chemistry 2e</i> are described in the preface to help instructors transition to the second edition. The first edition of <i>Chemistry</i> by OpenStax is available in web view <a href=""https://openstax.org/books/chemistry/pages/1-introduction"">here</a>.</p>"
"chemistry-atoms-first","retired","Chemistry: Atoms First","Chem: Atoms First","Chemistry: Atoms First",,"2016-07-15","2016-07-15T13:01:15.852000-05:00","2019-10-14T15:40:00-05:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/Chmistry-Atoms-First.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_ChemistryAtomsfirst.svg","deep-green","yellow",false,"1-938168-15-1","978-1-938168-15-4",,,"1-947172-18-2","978-1-947172-18-0","0-9986257-4-4","978-0-9986257-4-4",,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/ChemistryAtomsFirst-OP_1D7uBNB.pdf","https://assets.openstax.org/oscms-prodcms/media/documents/ChemistryAtomsFirst-LR_IMzYB3r.pdf","https://www.oercommons.org/groups/openstax-chemistry-atoms-first/1097/?__hub_id=27",,"","https://itunes.apple.com/us/book/id1212940075","","https://cnx.org/contents/4539ae23-1ccc-421e-9b25-843acbb6c4b0","",false,"",false,"https://www.amazon.com/Chemistry-Atoms-First-Paul-Flowers/dp/1938168151","https://www.amazon.com/Chemistry-Atoms-Edward-J-Neth-ebook/dp/B075FFCKLY/ref=sr_1_19_twi_kin_2?ie=UTF8&qid=1508860540&sr=8-19&keywords=Openstax",,false,true,false,,,,"4539ae23-1ccc-421e-9b25-843acbb6c4b0","<p><i>Chemistry: Atoms First</i> is a peer-reviewed, openly licensed introductory textbook produced through a collaborative publishing partnership between OpenStax and the University of Connecticut and UConn Undergraduate Student Government Association.<br/></p><p>This title is an adaptation of the OpenStax <i>Chemistry</i> text and covers scope and sequence requirements of the two-semester general chemistry course. Reordered to fit an atoms first approach, this title introduces atomic and molecular structure much earlier than the traditional approach, delaying the introduction of more abstract material so students have time to acclimate to the study of chemistry. <i>Chemistry: Atoms First</i> also provides a basis for understanding the application of quantitative principles to the chemistry that underlies the entire course.</p>"
"chemistry-atoms-first-2e","live","Chemistry: Atoms First 2e","Chem: Atoms First","Chemistry: Atoms First",,"2019-02-14","2016-07-15T13:01:15.852000-05:00","2023-02-03T09:45:00-06:00","Science",false,"https://assets.openstax.org/oscms-prodcms/media/documents/chemistry_atoms_first_2e_book_card.svg","https://assets.openstax.org/oscms-prodcms/media/documents/chemistry_atoms_first_2e.svg","orange","yellow",false,"1-947172-64-6","978-1-947172-64-7",,"978-1-59399-579-9","1-947172-63-8","978-1-947172-63-0",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/ChemistryAtomsFirst2e-WEB.pdf",,"https://www.oercommons.org/groups/openstax-chemistry-atoms-first/1097/?__hub_id=27",,"","","","https://cnx.org/contents/d9b85ee6-c57f-4861-8208-5ddf261e9c5f","https://openstax.org/books/chemistry-atoms-first-2e/pages/1-introduction",true,"",false,"https://buyprint.openstax.org/chemistry-atoms-first-2e","https://amzn.to/2LPrF8h",,false,false,false,,,,"d9b85ee6-c57f-4861-8208-5ddf261e9c5f","<p data-block-key=""psew1""><i>Chemistry: Atoms First 2e</i> is a peer-reviewed, openly licensed introductory textbook produced through a collaborative publishing partnership between OpenStax and the University of Connecticut and UConn Undergraduate Student Government Association.<br/><br/> This text is an atoms-first adaptation of OpenStax <i>Chemistry 2e</i>. The intention of “atoms-first” involves a few basic principles: first, it introduces atomic and molecular structure much earlier than the traditional approach, and it threads these themes through subsequent chapters. This approach may be chosen as a way to delay the introduction of material such as stoichiometry that students traditionally find abstract and difficult, thereby allowing students time to acclimate their study skills to chemistry. Additionally, it gives students a basis for understanding the application of quantitative principles to the chemistry that underlies the entire course. It also aims to center the study of chemistry on the atomic foundation that many will expand upon in a later course covering organic chemistry, easing that transition when the time arrives.<br/></p><p data-block-key=""nbohc"">The second edition has been revised to incorporate clearer, more current, and more dynamic explanations, while maintaining the same organization as the first edition. Substantial improvements have been made in the figures, illustrations, and example exercises that support the text narrative. The first edition of <i>Chemistry: Atoms First</i> by OpenStax is available in web view <a href=""https://openstax.org/books/chemistry-atoms-first/pages/1-introduction"">here</a>.</p>"
"college-algebra","retired","College Algebra","College Algebra","College Algebra",,"2015-02-13","2016-03-09T09:54:05.833000-06:00","2022-01-10T15:02:00-06:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/college_algebra.svg","https://assets.openstax.org/oscms-prodcms/media/documents/Head_CollegeAlgebra.svg","light-blue","yellow",false,"1-938168-38-0","978-1-938168-38-3",,"978-1-50669-822-9","1-947172-12-3","978-1-947172-12-8",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/CollegeAlgebra-OP.pdf",,"https://www.oercommons.org/groups/openstax-college-algebra/1046/?__hub_id=27",,"","","","https://cnx.org/contents/9b08c294-057f-4201-9f48-5d6ad992740d","https://openstax.org/books/college-algebra/pages/1-introduction-to-prerequisites",true,"",false,"https://buyprint.openstax.org/college-algebra","https://amzn.to/39sJ5A3",,false,false,false,,739,38783879,"9b08c294-057f-4201-9f48-5d6ad992740d","<p data-block-key=""akwpv""></p><p data-block-key=""xop4n""><i>College Algebra</i> provides a comprehensive exploration of algebraic principles and meets scope and sequence requirements for a typical introductory algebra course. The modular approach and richness of content ensure that the book meets the needs of a variety of courses. <i>College Algebra</i> offers a wealth of examples with detailed, conceptual explanations, building a strong foundation in the material before asking students to apply what they’ve learned.</p>"
"college-algebra-2e","live","College Algebra 2e","College Algebra","College Algebra",,"2021-12-21","2021-12-02T15:27:44.990000-06:00","2022-11-18T15:45:00-06:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/college_algebra_2e_web_card.svg","https://assets.openstax.org/oscms-prodcms/media/documents/college_algebra_2e.svg","yellow","light_blue",false,,"978-1-711494-02-9",,"978-1-711494-01-2",,"978-1-951693-41-1",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/College-Algebra-2e-WEB.pdf",,"https://www.oercommons.org/groups/openstax-college-algebra/1046/?__hub_id=27",,"","","","https://cnx.org/contents/35d7cce2-48dd-4403-b6a5-e828cb5a17da","https://openstax.org/books/college-algebra-2e/pages/1-introduction-to-prerequisites",false,"",false,"","",,false,false,false,,739,38783879,"35d7cce2-48dd-4403-b6a5-e828cb5a17da","<p data-block-key=""3w7u3""><i>College Algebra 2e</i> provides a comprehensive exploration of algebraic principles and meets scope and sequence requirements for a typical introductory algebra course. The modular approach and richness of content ensure that the book addresses the needs of a variety of courses. <i>College Algebra</i> <i>2e</i> offers a wealth of examples with detailed, conceptual explanations, building a strong foundation in the material before asking students to apply what they’ve learned.</p><p data-block-key=""2p2vq""></p><p data-block-key=""2mtq4"">The <i>College Algebra 2e</i> revision focused on improving relevance and representation as well as mathematical clarity and accuracy. Introductory narratives, examples, and problems were reviewed and revised using a diversity, equity, and inclusion framework. Many contexts, scenarios, and images have been changed to become even more relevant to students’ lives and interests. To maintain our commitment to accuracy and precision, examples, exercises, and solutions were reviewed by multiple faculty experts. All improvement suggestions and errata updates from the first edition were considered and unified across the different formats of the text. The first edition of <i>College Algebra</i> by OpenStax is available in web view <a href=""https://openstax.org/books/college-algebra/pages/1-introduction-to-prerequisites"">here</a>.</p><p data-block-key=""4a98g""></p><p data-block-key=""46gh5"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
"college-algebra-corequisite-support-2e","live","College Algebra 2e with Corequisite Support","College Algebra with Corequisite Support","College Algebra with Corequisite Support",,"2021-12-21","2021-12-02T15:59:05.143000-06:00","2022-05-16T15:30:00-05:00","Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/college_algebra_with_corequisite_support_2e.svg","https://assets.openstax.org/oscms-prodcms/media/documents/college_algebra_with_corequisite_support_2e_1.svg","light-blue","yellow",false,,,,,,"978-1-951693-46-6",,,,,,"https://assets.openstax.org/oscms-prodcms/media/documents/College-Algebra-Corequisite-Support-2e-WEB.pdf",,"https://www.oercommons.org/groups/openstax-college-algebra/1046/?__hub_id=27",,"","","","https://cnx.org/contents/59024a63-2b1a-4631-94c5-ae275a77b587","https://openstax.org/books/college-algebra-corequisite-support-2e/pages/1-introduction-to-prerequisites",false,"",false,"","",,false,false,false,,28,878542,"59024a63-2b1a-4631-94c5-ae275a77b587","<p data-block-key=""nwbbn""><i>College Algebra 2e with Corequisite Support</i> integrates comprehensive algebraic principles with effective foundational review. Each textbook section is paired with a thoughtfully developed, topically aligned skills module that prepares students for the course material. The modules include conceptual overviews, worked examples, and guided practice; they incorporate relevant material from OpenStax’s Developmental Math series.</p><p data-block-key=""fkvi1""><br/>To offer the most flexibility as possible, the material within <i>College Algebra 2e with Corequisite Support</i> will be available in several formats. The skills modules can be downloaded and/or printed for use in classes, workshops, or tutoring sessions, and will be provided as both Word and PDF files.</p><p data-block-key=""94u43""></p><p data-block-key=""5rf10"">The <i>College Algebra 2e with Corequisite Support</i> revision focused on improving relevance and representation as well as mathematical clarity and accuracy. Introductory narratives, examples, and problems were reviewed and revised using a diversity, equity, and inclusion framework. Many contexts, scenarios, and images have been changed to become even more relevant to students’ lives and interests. To maintain our commitment to accuracy and precision, examples, exercises, and solutions were reviewed by multiple faculty experts. All improvement suggestions and errata updates from the first edition were considered and unified across the different formats of the text. The first edition of <i>College Algebra</i> <i>with Corequisite Support</i> by OpenStax is available in web view <a href=""https://openstax.org/books/college-algebra-corequisite-support/pages/1-introduction-to-prerequisites"">here</a>.</p><p data-block-key=""rhkb""></p><p data-block-key=""c9fun"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
"college-algebra-corequisite-support","retired","College Algebra with Corequisite Support","College Algebra with Corequisite Support","College Algebra with Corequisite Support",,"2020-09-23","2020-07-21T14:52:19.640000-05:00",,"Math",false,"https://assets.openstax.org/oscms-prodcms/media/documents/college_algebra__with_corequisite_support_web_card.svg","https://assets.openstax.org/oscms-prodcms/media/documents/college_algebra_with_corequisite_support.svg","yellow","light_blue",false,,"978-1-975076-57-3",,"978-1-975076-56-6",,"978-1-951693-27-5",,,,,"https://creativecommons.org/licenses/by/4.0/","https://assets.openstax.org/oscms-prodcms/media/documents/CollegeAlgCoreq-WEB.pdf",,"https://www.oercommons.org/groups/openstax-college-algebra/1046/?__hub_id=27",,"","","","https://cnx.org/contents/507feb1e-cfff-4b54-bc07-d52636cecfe3","https://openstax.org/books/college-algebra-corequisite-support/pages/1-introduction-to-prerequisites",false,"",false,"","",,false,false,false,,28,399623,"507feb1e-cfff-4b54-bc07-d52636cecfe3","<p data-block-key=""pq7d4""><i>College Algebra with Corequisite Support</i> integrates comprehensive algebraic principles with effective foundational review. Each textbook section is paired with a thoughtfully developed, topically aligned skills module that prepares students for the course material. The modules include conceptual overviews, worked examples, and guided practice; they incorporate relevant material from OpenStax’s Developmental Math series.</p><p data-block-key=""5de68"">To offer the most flexibility as possible, the material within <i>College Algebra with Corequisite Support</i> will be available in several formats. The skills modules can be downloaded and/or printed for use in classes, workshops, or tutoring sessions, and will be provided as both Word and PDF files.</p><p data-block-key=""5spc3"">We have posted draft, not final, content. All draft content is subject to peer review, editorial changes, and correction. Page numbers, as well as numbering on figures, equations, examples, footnotes, etc. may not be accurate or final. Links may be missing or non-functional.</p>"
